dataset,M,budget_label,best_algo,best_precision,runner_up,runner_up_precision
uniform,500,M_small,CMS-CU,0.03,CS,0.0267
uniform,2000,M_med,CMS,0.04,SS,0.0233
uniform,8000,M_large,MG,0.3567,SS,0.3533
zipf_1_1,500,M_small,SS,0.9967,MG,0.9967
zipf_1_1,2000,M_med,SS,1.0,MG,1.0
zipf_1_1,8000,M_large,CMS-CU,1.0,SS,1.0
zipf_1_3,500,M_small,SS,1.0,MG,1.0
zipf_1_3,2000,M_med,SS,1.0,MG,1.0
zipf_1_3,8000,M_large,CMS,1.0,CMS-CU,1.0
mixture,500,M_small,SS,0.51,MG,0.5067
mixture,2000,M_med,CMS,0.52,CMS-CU,0.5133
mixture,8000,M_large,SS,0.7833,MG,0.7833
kosarak,500,M_small,SS,0.79,MG,0.78
kosarak,2000,M_med,SS,1.0,MG,1.0
kosarak,8000,M_large,CMS-CU,1.0,SS,1.0
retail,500,M_small,SS,0.56,MG,0.56
retail,2000,M_med,SS,0.97,MG,0.97
retail,8000,M_large,SS,1.0,MG,1.0
